No,year,month,day,hour,PM2.5,PM10,CO,TEMP,PRES,DEWP,WSPM,monthno
102,2013,3,5,5,117,153,2399,0.6,1013.9,-9.4,0.8,3
103,2013,3,5,6,104,145,2200,-0.2,1013.4,-8.6,1.3,3
104,2013,3,5,7,106,146,2299,2.9,1013.4,-9.1,1.3,3
105,2013,3,5,8,111,147,2399,5.1,1013.4,-9.1,1.2,3
106,2013,3,5,9,114,159,2899,7.7,1012.8,-8.4,1.5,3
107,2013,3,5,10,131,177,2700,9.4,1012,-8.2,1.5,3
108,2013,3,5,11,138,184,2299,10.6,1011.1,-8.1,1.4,3
109,2013,3,5,12,142,184,2299,11.9,1009.7,-7.5,1.3,3
110,2013,3,5,13,163,193,2200,12.6,1008.5,-8,1,3
111,2013,3,5,14,168,182,2100,13.5,1007.7,-7.8,1.4,3
112,2013,3,5,15,165,171,2200,13.8,1007.2,-7.6,1.2,3
113,2013,3,5,16,166,186,2700,13.2,1007.1,-7,2,3
114,2013,3,5,17,190,218,2799,12.1,1007.7,-6.4,1.6,3
115,2013,3,5,18,203,248,2500,9,1008.2,-5.7,1.4,3
116,2013,3,5,19,210,255,2200,5.3,1008.5,-4.8,0,3
117,2013,3,5,20,205,244,2500,3.3,1008.7,-4.7,0.2,3
118,2013,3,5,21,215,252,3100,2.9,1009,-4.6,1.2,3
119,2013,3,5,22,219,253,3200,5.2,1008.9,-6.1,1.1,3
120,2013,3,5,23,226,269,4400,4.9,1008.4,-6.1,1.4,3
121,2013,3,6,0,284,315,4000,4.9,1008.5,-6.4,1.2,3
122,2013,3,6,1,272,300,4000,4.8,1008.3,-5.9,1.5,3
123,2013,3,6,2,242,265,3200,4.1,1007.8,-5.9,1.9,3
124,2013,3,6,3,212,229,2600,4,1007.6,-6.3,1.9,3
125,2013,3,6,4,192,203,NA,3.9,1007.3,-6.1,1.4,3
126,2013,3,6,5,188,194,2500,4.1,1007.8,-5.7,1.6,3
127,2013,3,6,6,186,194,2600,4.5,1008.4,-5.3,2,3
128,2013,3,6,7,188,196,2700,5.7,1009.3,-5,1.7,3
129,2013,3,6,8,194,205,2500,6.6,1009.3,-4.8,1.7,3
130,2013,3,6,9,184,198,2399,7.5,1009.1,-4.6,1.7,3
131,2013,3,6,10,175,198,2600,8.7,1008.6,-4.5,1.5,3
132,2013,3,6,11,179,212,2399,10.1,1007.7,-4.7,1.4,3
133,2013,3,6,12,192,219,2299,11.1,1006.9,-4.2,0.4,3
134,2013,3,6,13,201,233,2700,12.6,1005.8,-3.7,1.5,3
135,2013,3,6,14,230,265,2799,14.5,1005.5,-3.3,1.6,3
136,2013,3,6,15,246,277,2899,14.7,1005.5,-3.2,2.5,3
137,2013,3,6,16,248,285,2799,14.2,1005.5,-3.2,1.4,3
138,2013,3,6,17,230,276,3200,11.6,1005.9,-3.4,1.1,3
139,2013,3,6,18,239,291,3500,6.8,1006.8,-2.9,0.9,3
140,2013,3,6,19,242,338,3700,5.1,1007.6,-2.5,1.2,3
141,2013,3,6,20,254,396,4200,4.4,1008.2,-2.5,1.1,3
142,2013,3,6,21,266,380,3799,3.8,1007.7,-2.2,1.9,3
143,2013,3,6,22,254,335,4099,2.4,1007.3,-2.5,1.2,3
144,2013,3,6,23,260,360,4000,2.3,1007.2,-2.4,1.3,3
145,2013,3,7,0,250,319,4000,1.5,1007.1,-2.6,0.8,3
146,2013,3,7,1,240,297,4000,0.7,1007.1,-2.7,1.2,3
147,2013,3,7,2,238,294,4000,1.5,1006.9,-2.5,0.6,3
148,2013,3,7,3,243,293,4099,0.3,1006.5,-2.7,1.7,3
149,2013,3,7,4,246,304,5000,-0.9,1006.4,-3.3,0.5,3
150,2013,3,7,5,275,337,5599,1.6,1006.7,-1.5,1.7,3
151,2013,3,7,6,306,366,5700,0.3,1006.6,-2.7,0.4,3
152,2013,3,7,7,320,374,4599,2.4,1006.8,-1.4,1.5,3
153,2013,3,7,8,292,344,3700,8.3,1006.5,-1,0.8,3
154,2013,3,7,9,251,282,3299,10.1,1006.1,-0.7,0.6,3
155,2013,3,7,10,228,255,3200,12.7,1005.5,-1.6,1.2,3
156,2013,3,7,11,217,255,4000,16.5,1003.6,-1.6,1.7,3
157,2013,3,7,12,255,311,4000,17.1,1001.6,-3.1,3.7,3
158,2013,3,7,13,258,283,3700,17.7,1000.2,-3.2,3.1,3
159,2013,3,7,14,277,284,2899,18.3,998.6,-3.2,3.6,3
160,2013,3,7,15,282,326,2399,18.6,997.6,-1.8,3.3,3
161,2013,3,7,16,267,310,1899,17.9,997.2,-0.9,1.9,3
162,2013,3,7,17,216,257,1600,15.4,997.1,-1.7,1.4,3
163,2013,3,7,18,201,255,1899,14.4,997.4,-2.5,1.9,3
164,2013,3,7,19,211,287,2399,13.4,997.9,-2.6,1.5,3
165,2013,3,7,20,227,298,3399,11.8,997.7,-2.1,1.5,3
166,2013,3,7,21,282,377,4000,9.2,997.9,-1.3,1.4,3
167,2013,3,7,22,363,452,4000,7.5,998.3,-1.2,1.3,3
168,2013,3,7,23,376,426,3799,6.6,998.4,-0.9,0.1,3
169,2013,3,8,0,344,389,3799,4.1,998.2,-1.3,0,3
170,2013,3,8,1,339,370,4099,3.3,998.5,-1.7,0.9,3
171,2013,3,8,2,339,400,3899,2.5,998.2,-1.9,0.8,3
172,2013,3,8,3,324,373,NA,1.8,997.9,-1.8,0,3
173,2013,3,8,4,322,345,3299,1.3,998.5,-1.8,1,3
174,2013,3,8,5,315,346,3200,1.4,999,-1.5,0.8,3
175,2013,3,8,6,310,327,3299,1.1,999.7,-1.8,0.8,3
176,2013,3,8,7,309,318,4099,5.7,1000.4,0.5,1,3
177,2013,3,8,8,310,337,4900,10.9,1000.8,1.4,0.7,3
178,2013,3,8,9,326,371,5200,16.9,1001.1,-0.4,1,3
179,2013,3,8,10,326,844,NA,19.1,1000.9,-0.4,1.9,3
180,2013,3,8,11,219,362,3100,20.5,1000.5,-3.3,4.4,3
181,2013,3,8,12,104,194,1399,21.7,999.4,-2.3,3,3
182,2013,3,8,13,121,225,1300,22.5,998.2,-2.3,3.3,3
183,2013,3,8,14,184,348,1800,17.4,998.3,1.4,4.5,3
184,2013,3,8,15,330,508,3600,13.9,999.5,1.2,2.7,3
185,2013,3,8,16,172,284,1700,11.9,1000.2,0,2.6,3
186,2013,3,8,17,114,181,1100,10.3,999.9,-0.5,2.8,3
187,2013,3,8,18,82,128,900,9.3,1000.6,-0.9,1.4,3
188,2013,3,8,19,84,123,1100,8,1000.5,-0.3,0.8,3
189,2013,3,8,20,91,104,1000,7.9,1000.4,-1.6,1.4,3
190,2013,3,8,21,81,87,1100,7.2,1000,-1.5,1.6,3
191,2013,3,8,22,90,102,1399,6.3,999,-3.4,0.9,3
192,2013,3,8,23,79,85,1500,5.7,997.7,-3.4,1,3
193,2013,3,9,0,49,67,1600,3.6,996.1,-2.6,0.6,3
194,2013,3,9,1,89,91,1899,2.1,994.9,-2.6,1.1,3
195,2013,3,9,2,89,97,2299,1.4,994.1,-3.1,0,3
196,2013,3,9,3,98,125,2299,1.1,993,-3.2,1.4,3
197,2013,3,9,4,97,118,2399,1.8,992,-2.3,0,3
198,2013,3,9,5,102,123,2500,3.2,992,-2.8,1.3,3
199,2013,3,9,6,110,153,2600,2.8,992.2,-2.5,1,3
200,2013,3,9,7,108,143,2100,4.6,992.9,-2.1,1.8,3
201,2013,3,9,8,104,139,2100,8.4,994.1,-1.7,2.6,3
202,2013,3,9,9,113,166,1899,16.3,995.9,-0.4,3.3,3
203,2013,3,9,10,145,272,2200,16.7,998.3,-4.6,7.7,3
204,2013,3,9,11,69,587,400,14.3,1001.3,-9.1,7.4,3
205,2013,3,9,12,78,NA,300,12.4,1004.3,-14.4,7.9,3
206,2013,3,9,13,49,628,300,10.3,1006.5,-17,7.2,3
207,2013,3,9,14,47,662,300,10.5,1008.1,-16.8,6.7,3
208,2013,3,9,15,28,443,300,10.2,1009.4,-17.1,3.9,3
209,2013,3,9,16,21,263,300,10.5,1010.8,-17.8,4.8,3
210,2013,3,9,17,14,251,300,8.6,1013,-18.3,4.8,3
211,2013,3,9,18,17,205,300,7.4,1015.9,-19.3,4.8,3
212,2013,3,9,19,15,107,400,6.4,1018.1,-18.4,3.5,3
213,2013,3,9,20,18,104,400,5.6,1019.7,-18.3,4.5,3
214,2013,3,9,21,12,58,400,4.8,1020.3,-17.6,3.3,3
215,2013,3,9,22,11,34,300,3.8,1021.2,-17.8,1.2,3
216,2013,3,9,23,6,19,400,0.8,1021.3,-14.1,0.6,3
217,2013,3,10,0,11,15,400,-0.5,1020.8,-13.4,0,3
218,2013,3,10,1,11,16,400,-0.2,1021.1,-11.6,1,3
219,2013,3,10,2,6,18,400,-2.1,1020.9,-11.7,0.7,3
220,2013,3,10,3,10,25,500,-2,1021.1,-11.8,1.2,3
221,2013,3,10,4,18,63,500,-1.3,1021.9,-14.8,0,3
222,2013,3,10,5,21,35,700,-1.8,1022,-10.9,1.7,3
223,2013,3,10,6,18,21,800,-2,1022.5,-11.8,0,3
224,2013,3,10,7,24,46,1500,3.5,1023.2,-14.7,2.3,3
225,2013,3,10,8,31,74,1300,5.3,1023.5,-15.9,4.6,3
226,2013,3,10,9,26,75,900,6.8,1023.1,-15.9,5.2,3
227,2013,3,10,10,27,63,700,8.3,1022.4,-14.7,4.6,3
228,2013,3,10,11,30,59,800,9.8,1021.9,-14.2,2.7,3
229,2013,3,10,12,28,56,700,10.4,1021,-14.4,0.4,3
230,2013,3,10,13,34,52,600,11.2,1020,-13.8,2.8,3
231,2013,3,10,14,28,54,500,11.4,1019,-13.6,4,3
232,2013,3,10,15,37,71,500,11.3,1018.7,-14.5,4.5,3
233,2013,3,10,16,36,94,500,10.4,1018.3,-13.7,4.1,3
234,2013,3,10,17,38,117,500,9.1,1018.2,-13.4,4.4,3
235,2013,3,10,18,44,106,600,8.2,1018.5,-12.3,2.6,3
236,2013,3,10,19,60,102,700,7.7,1018.8,-11.1,2.3,3
237,2013,3,10,20,70,115,800,7.4,1018.8,-10.9,3.5,3
238,2013,3,10,21,64,114,800,6.5,1018.9,-10.3,2.7,3
239,2013,3,10,22,70,123,900,5.9,1018.5,-10,2.4,3
240,2013,3,10,23,81,140,1000,3,1018.7,-9,0.9,3
241,2013,3,11,0,90,147,1100,0.3,1018.5,-8.7,1.4,3
242,2013,3,11,1,95,156,1100,-0.7,1018,-7.3,0.7,3
243,2013,3,11,2,95,140,1100,-1.7,1017.4,-7,0.5,3
244,2013,3,11,3,96,138,1100,-2.1,1017.2,-6.5,0.6,3
245,2013,3,11,4,97,140,1100,-1.6,1016.9,-7.9,1.1,3
246,2013,3,11,5,106,146,1200,-2.3,1016.9,-8,0.1,3
247,2013,3,11,6,114,147,1600,-2.1,1017,-8,0.9,3
248,2013,3,11,7,112,155,2100,1.3,1017.4,-8.3,1.9,3
249,2013,3,11,8,113,184,2600,3.1,1017.5,-8.6,1.8,3
250,2013,3,11,9,120,196,2500,4.6,1016.8,-8.2,1.8,3
251,2013,3,11,10,141,205,2500,6.7,1016,-8.1,1.4,3
252,2013,3,11,11,140,198,2299,7.6,1015,-8.1,1.3,3
253,2013,3,11,12,149,207,2200,9.7,1013.4,-7.5,1.6,3
254,2013,3,11,13,150,189,2100,11.3,1012.3,-7.1,3.5,3
255,2013,3,11,14,114,151,1100,11.4,1010.9,-7.5,2.5,3
256,2013,3,11,15,106,133,1000,10.7,1010.3,-6.2,2.1,3
257,2013,3,11,16,113,162,1100,10.4,1009.5,-6.5,3.4,3
258,2013,3,11,17,132,198,1700,9.7,1009.7,-5.8,2.1,3
259,2013,3,11,18,149,253,2100,9.7,1009.8,-5.1,2,3
260,2013,3,11,19,144,233,1500,9.6,1010,-4.4,1.5,3
261,2013,3,11,20,156,214,1899,9.8,1010.4,-2.8,1.3,3
262,2013,3,11,21,174,246,2200,9.6,1009.8,-2.7,1.5,3
263,2013,3,11,22,152,196,1600,9.3,1009.2,-4,1.5,3
264,2013,3,11,23,113,145,1300,8.6,1008,-4.6,1.1,3
265,2013,3,12,0,89,124,1100,6.3,1007.5,-2.8,1,3
266,2013,3,12,1,106,161,1600,4.8,1006.8,-2.8,0,3
267,2013,3,12,2,125,159,1899,5.3,1005.8,-1,0.2,3
268,2013,3,12,3,117,127,NA,6.4,1005.8,-1,2.2,3
269,2013,3,12,4,112,140,1399,4.3,1006.3,1.5,0.9,3
270,2013,3,12,5,140,237,2100,4.7,1006.1,1.5,1.3,3
271,2013,3,12,6,146,165,2100,4.1,1006.2,2.6,1,3
272,2013,3,12,7,115,121,2100,3.5,1006.9,2.2,1.4,3
273,2013,3,12,8,120,122,1600,3.1,1006.9,1.9,1.5,3
274,2013,3,12,9,116,90,1600,3.4,1006.6,2.2,1.3,3
275,2013,3,12,10,123,94,1700,3.7,1006.8,2.2,0.9,3
276,2013,3,12,11,130,104,1800,4.4,1006.5,2.6,1.4,3
277,2013,3,12,12,132,87,1600,4.8,1006.8,2.2,1.5,3
278,2013,3,12,13,129,84,1500,5.3,1006.6,2.8,1.8,3
279,2013,3,12,14,139,102,1600,5.6,1007.1,2.9,1.6,3
280,2013,3,12,15,135,93,1600,6.4,1007.6,3.2,1.5,3
281,2013,3,12,16,133,102,1500,6.6,1008.1,3.2,0.6,3
282,2013,3,12,17,141,107,1600,6.4,1009.4,3.4,1.4,3
283,2013,3,12,18,124,131,1800,5.8,1011.1,3.1,0.4,3
284,2013,3,12,19,137,140,2000,3.3,1012.5,2.1,0.5,3
285,2013,3,12,20,160,140,1800,2.9,1014.1,2.2,0.7,3
286,2013,3,12,21,140,101,1700,3.6,1015.5,2.6,0.8,3
287,2013,3,12,22,88,31,1100,1.9,1016.7,1.3,1.2,3
288,2013,3,12,23,50,50,800,3.8,1017.7,-5.7,0.9,3
289,2013,3,13,0,22,22,400,3.4,1018.5,-7.1,0.9,3
290,2013,3,13,1,10,10,300,2.7,1018.9,-9,2.1,3
291,2013,3,13,2,10,10,300,2.8,1019.3,-8.9,2.4,3
292,2013,3,13,3,7,7,300,2.4,1019.7,-8.6,1.3,3
293,2013,3,13,4,11,11,400,0.3,1020.5,-7.5,0.9,3
294,2013,3,13,5,3,6,400,-0.9,1021,-8.1,0.9,3
295,2013,3,13,6,3,6,500,0.8,1022.2,-8.5,1.6,3
296,2013,3,13,7,3,8,600,3.7,1023.3,-10,2.9,3
297,2013,3,13,8,8,18,700,4.8,1024.6,-13.6,3.3,3
298,2013,3,13,9,20,24,600,5.5,1025.2,-10.7,3.9,3
299,2013,3,13,10,16,25,500,6.4,1025.2,-11.3,2.6,3
300,2013,3,13,11,14,6,400,6.6,1024.4,-12.6,3.6,3
301,2013,3,13,12,12,6,400,7.6,1023.7,-11.7,3.5,3
302,2013,3,13,13,17,6,400,8.5,1022.9,-13.2,2.3,3
303,2013,3,13,14,15,6,400,9.5,1022.2,-14.4,1.6,3
304,2013,3,13,15,3,9,400,9.7,1021.7,-13.5,2,3
305,2013,3,13,16,3,6,400,9.1,1021.9,-12.1,1.8,3
306,2013,3,13,17,3,11,500,7.1,1022.3,-10.7,2.7,3
307,2013,3,13,18,23,38,600,6.1,1022.8,-9,2.5,3
308,2013,3,13,19,31,59,700,5.5,1023.5,-8.8,1.5,3
309,2013,3,13,20,37,47,700,5,1023.7,-9.6,2.9,3
310,2013,3,13,21,35,39,700,4.8,1024,-8.7,3.2,3
311,2013,3,13,22,37,39,700,4,1023.8,-8.1,3.2,3
312,2013,3,13,23,42,45,800,2.9,1024.1,-5.5,2.3,3
313,2013,3,14,0,62,113,1100,2.5,1024.2,-3.8,2.4,3
314,2013,3,14,1,71,88,1399,1.6,1024.5,-4.1,1,3
315,2013,3,14,2,60,66,1399,1.3,1023.9,-4.6,1.5,3
316,2013,3,14,3,65,53,1200,-0.1,1023.8,-4.7,0.5,3
317,2013,3,14,4,49,53,1200,-0.5,1023.9,-3.9,2.4,3
318,2013,3,14,5,72,77,1500,-0.8,1024.3,-4,1.9,3
319,2013,3,14,6,73,75,1600,-0.8,1024.3,-4.2,2.2,3
320,2013,3,14,7,69,77,1399,-0.4,1024.6,-4.1,2.1,3
321,2013,3,14,8,72,81,1500,0.5,1024.9,-4.2,2.3,3
322,2013,3,14,9,84,95,1500,2.2,1024.3,-4.1,1.5,3
323,2013,3,14,10,101,117,1600,3.9,1023.4,-3.9,1.7,3
324,2013,3,14,11,111,112,1600,5.5,1022.3,-3.6,1.2,3
325,2013,3,14,12,97,125,1700,7.2,1021.3,-3.7,3.4,3
326,2013,3,14,13,104,117,1399,8.7,1020,-3.8,3.3,3
327,2013,3,14,14,108,115,900,9.9,1019.4,-4.5,3.8,3
328,2013,3,14,15,105,112,1000,9.3,1018.7,-4.3,3.2,3
329,2013,3,14,16,105,115,1000,8.6,1018.1,-3.9,3.1,3
330,2013,3,14,17,106,126,1000,7.6,1018.3,-3.6,3.5,3
331,2013,3,14,18,115,136,1100,6.8,1018.4,-2.9,1.6,3
332,2013,3,14,19,119,137,1100,6.2,1018.4,-2.7,1.3,3
333,2013,3,14,20,115,118,1200,5.9,1018.3,-2,1.3,3
334,2013,3,14,21,119,130,1399,3.5,1018.4,-1.9,0.6,3
335,2013,3,14,22,140,158,1600,1.4,1018.2,-1.8,0,3
336,2013,3,14,23,162,179,1700,1.6,1017.7,-1.8,1.1,3
337,2013,3,15,0,165,176,1700,2.3,1017.8,-2.2,1.2,3
338,2013,3,15,1,180,211,2700,2.4,1017.4,-2.5,1.8,3
339,2013,3,15,2,183,218,2700,2,1016.6,-2.9,1.1,3
340,2013,3,15,3,182,200,2500,1.5,1016.3,-2.8,1.6,3
341,2013,3,15,4,173,189,2399,1,1016.2,-2.6,0.8,3
342,2013,3,15,5,166,177,2200,0.7,1016.1,-2.5,1.2,3
343,2013,3,15,6,163,170,2100,0.6,1016,-2.5,1.2,3
344,2013,3,15,7,137,156,1899,2.4,1016.3,-2.3,1,3
345,2013,3,15,8,164,174,2100,4.2,1016.5,-2.2,1.4,3
346,2013,3,15,9,172,185,2200,6.4,1015.9,-2.5,1.4,3
347,2013,3,15,10,173,186,2000,8.1,1015.1,-2,1.6,3
348,2013,3,15,11,3,3,1600,9,1014.2,-2,1.4,3
349,2013,3,15,12,110,331,1700,10.3,1013.2,-2.1,1.6,3
350,2013,3,15,13,227,261,1700,12,1011.9,-1.2,1.5,3
351,2013,3,15,14,236,279,1899,12.2,1011.4,-0.7,2.7,3
352,2013,3,15,15,256,305,2299,12.3,1010.9,-0.3,2,3
353,2013,3,15,16,287,343,2100,11.5,1010.9,0.3,3.4,3
354,2013,3,15,17,278,320,1700,10.6,1011.6,0.9,1.8,3
355,2013,3,15,18,269,319,1700,9.1,1012.2,1.5,1,3
356,2013,3,15,19,286,324,1800,7,1012.5,1.3,1.1,3
357,2013,3,15,20,304,343,2000,6.3,1013.8,1.4,0,3
358,2013,3,15,21,312,348,2100,7.1,1014.4,0.7,0.8,3
359,2013,3,15,22,316,367,2500,7.3,1015.3,0.9,1,3
360,2013,3,15,23,353,430,3200,7.3,1015.5,0.7,1.5,3
361,2013,3,16,0,355,411,3299,6.5,1015.6,0.6,1.1,3
362,2013,3,16,1,328,357,2700,5.9,1015.9,0.2,1.7,3
363,2013,3,16,2,308,330,2399,5.9,1016.5,0.2,1.5,3
364,2013,3,16,3,304,332,NA,5.6,1017,0.4,1,3
365,2013,3,16,4,314,316,2000,3.9,1018,0.6,1.3,3
366,2013,3,16,5,276,300,1800,5.3,1018.7,0.3,1.6,3
367,2013,3,16,6,276,293,1800,4.8,1019.3,0.4,1.3,3
368,2013,3,16,7,275,297,2100,6,1020.1,0.5,0.2,3
369,2013,3,16,8,278,294,2200,8.4,1020.7,1.3,1.1,3
370,2013,3,16,9,272,289,2100,10.7,1020.9,0.7,1.3,3
371,2013,3,16,10,264,273,1899,12.6,1020.2,0,2.8,3
372,2013,3,16,11,270,243,1800,13.5,1019.9,-0.2,1.8,3
373,2013,3,16,12,227,207,1899,14,1018.5,-0.9,2.2,3
374,2013,3,16,13,183,189,1899,14.1,1017.5,-0.4,2.5,3
375,2013,3,16,14,166,169,1700,14.5,1016.6,0.3,2.1,3
376,2013,3,16,15,150,167,1700,13.6,1015.6,1.2,2,3
